student_id,company,role,package_lpa,eligible,skill_match_pct,missing_skills
1,Capgemini,Software Engineer,4.2,1,100.0,
1,Cognizant,Programmer Analyst,4.0,1,66.7,Problem Solving
1,LTIMindtree,Software Engineer,4.0,1,66.7,Data Structures
1,TCS,Assistant System Engineer,3.5,1,50.0,"Data Structures, Communication Skills"
1,Infosys,Systems Engineer,4.0,1,50.0,"Python, Communication Skills"
1,Zoho,Software Developer,6.5,0,75.0,Data Structures
1,Persistent Systems,Software Engineer,5.5,0,50.0,"Python, Data Structures"
1,Wipro,Project Engineer,3.8,0,33.3,"Data Structures, Operating Systems"
1,TechMahindra,Software Engineer,3.6,0,33.3,"Networking, Communication Skills"
1,HCL,Software Engineer,4.0,0,33.3,"C, Data Structures"
1,Accenture,Associate Software Engineer,4.5,0,25.0,"Python, Communication Skills, Agile"
1,Adobe,Member Technical Staff,20.0,0,25.0,"Data Structures, Algorithms, Problem Solving"
1,Flipkart,SDE-1,16.0,0,25.0,"Data Structures, Algorithms, REST API"
1,Deloitte,Analyst,6.0,0,25.0,"Excel, Communication Skills, Data Analysis"
1,Mu Sigma,Data Analyst,7.0,0,25.0,"Python, Statistics, Data Analysis"
1,Tredence,Business Analyst,8.0,0,25.0,"Power BI, Excel, Data Analysis"
1,Amazon,SDE-1,18.0,0,20.0,"Data Structures, Algorithms, System Design, Python"
1,Microsoft,SDE-1,22.0,0,20.0,"Data Structures, Algorithms, System Design, Operating Systems"
1,Fractal Analytics,Data Scientist,9.0,0,20.0,"Python, Machine Learning, Statistics, Pandas"
1,Google,SWE,25.0,0,0.0,"Data Structures, Algorithms, System Design, Python, Computer Networks"
2,TCS,Assistant System Engineer,3.5,1,75.0,Java
2,HCL,Software Engineer,4.0,1,66.7,C
2,LTIMindtree,Software Engineer,4.0,1,66.7,Java
2,Infosys,Systems Engineer,4.0,1,50.0,"Java, Python"
2,Deloitte,Analyst,6.0,1,50.0,"Excel, Data Analysis"
2,Zoho,Software Developer,6.5,1,50.0,"Java, C++"
2,Wipro,Project Engineer,3.8,0,33.3,"C++, Operating Systems"
2,Cognizant,Programmer Analyst,4.0,0,33.3,"Java, Problem Solving"
2,Capgemini,Software Engineer,4.2,0,33.3,"C++, Java"
2,TechMahindra,Software Engineer,3.6,0,33.3,"Java, Networking"
2,Accenture,Associate Software Engineer,4.5,0,25.0,"Java, Python, Agile"
2,Adobe,Member Technical Staff,20.0,0,25.0,"Algorithms, Java, Problem Solving"
2,Flipkart,SDE-1,16.0,0,25.0,"Algorithms, Java, REST API"
2,Mu Sigma,Data Analyst,7.0,0,25.0,"Python, Statistics, Data Analysis"
2,Tredence,Business Analyst,8.0,0,25.0,"Power BI, Excel, Data Analysis"
2,Persistent Systems,Software Engineer,5.5,0,25.0,"Java, Python, Git"
2,Amazon,SDE-1,18.0,0,20.0,"Algorithms, System Design, Java, Python"
2,Microsoft,SDE-1,22.0,0,20.0,"Algorithms, C++, System Design, Operating Systems"
2,Google,SWE,25.0,0,20.0,"Algorithms, System Design, Python, Computer Networks"
2,Fractal Analytics,Data Scientist,9.0,0,20.0,"Python, Machine Learning, Statistics, Pandas"
3,Tredence,Business Analyst,8.0,0,75.0,Excel
3,Deloitte,Analyst,6.0,0,50.0,"Excel, Communication Skills"
3,Mu Sigma,Data Analyst,7.0,0,50.0,"Python, Statistics"
3,Cognizant,Programmer Analyst,4.0,0,33.3,"Java, Problem Solving"
3,HCL,Software Engineer,4.0,0,33.3,"C, Data Structures"
3,LTIMindtree,Software Engineer,4.0,0,33.3,"Java, Data Structures"
3,TCS,Assistant System Engineer,3.5,0,25.0,"Data Structures, Java, Communication Skills"
3,Google,SWE,25.0,0,20.0,"Data Structures, Algorithms, System Design, Python"
3,Fractal Analytics,Data Scientist,9.0,0,20.0,"Python, Machine Learning, Statistics, Pandas"
3,Infosys,Systems Engineer,4.0,0,0.0,"Java, Python, DBMS, Communication Skills"
3,Wipro,Project Engineer,3.8,0,0.0,"C++, Data Structures, Operating Systems"
3,Accenture,Associate Software Engineer,4.5,0,0.0,"Java, Python, Communication Skills, Agile"
3,Capgemini,Software Engineer,4.2,0,0.0,"C++, Java, DBMS"
3,TechMahindra,Software Engineer,3.6,0,0.0,"Java, Networking, Communication Skills"
3,Amazon,SDE-1,18.0,0,0.0,"Data Structures, Algorithms, System Design, Java, Python"
3,Microsoft,SDE-1,22.0,0,0.0,"Data Structures, Algorithms, C++, System Design, Operating Systems"
3,Adobe,Member Technical Staff,20.0,0,0.0,"Data Structures, Algorithms, Java, Problem Solving"
3,Flipkart,SDE-1,16.0,0,0.0,"Data Structures, Algorithms, Java, REST API"
3,Zoho,Software Developer,6.5,0,0.0,"Java, C++, Data Structures, DBMS"
3,Persistent Systems,Software Engineer,5.5,0,0.0,"Java, Python, Data Structures, Git"
4,Capgemini,Software Engineer,4.2,0,33.3,"C++, Java"
4,Infosys,Systems Engineer,4.0,0,25.0,"Java, Python, Communication Skills"
4,Zoho,Software Developer,6.5,0,25.0,"Java, C++, Data Structures"
4,Amazon,SDE-1,18.0,0,20.0,"Data Structures, Algorithms, Java, Python"
4,Microsoft,SDE-1,22.0,0,20.0,"Data Structures, Algorithms, C++, Operating Systems"
4,Google,SWE,25.0,0,20.0,"Data Structures, Algorithms, Python, Computer Networks"
4,TCS,Assistant System Engineer,3.5,0,0.0,"Data Structures, Java, SQL, Communication Skills"
4,Wipro,Project Engineer,3.8,0,0.0,"C++, Data Structures, Operating Systems"
4,Cognizant,Programmer Analyst,4.0,0,0.0,"Java, SQL, Problem Solving"
4,Accenture,Associate Software Engineer,4.5,0,0.0,"Java, Python, Communication Skills, Agile"
4,TechMahindra,Software Engineer,3.6,0,0.0,"Java, Networking, Communication Skills"
4,HCL,Software Engineer,4.0,0,0.0,"C, Data Structures, SQL"
4,Adobe,Member Technical Staff,20.0,0,0.0,"Data Structures, Algorithms, Java, Problem Solving"
4,Flipkart,SDE-1,16.0,0,0.0,"Data Structures, Algorithms, Java, REST API"
4,Deloitte,Analyst,6.0,0,0.0,"Excel, SQL, Communication Skills, Data Analysis"
4,Mu Sigma,Data Analyst,7.0,0,0.0,"Python, Statistics, Data Analysis, SQL"
4,Fractal Analytics,Data Scientist,9.0,0,0.0,"Python, Machine Learning, Statistics, SQL, Pandas"
4,Tredence,Business Analyst,8.0,0,0.0,"SQL, Power BI, Excel, Data Analysis"
4,LTIMindtree,Software Engineer,4.0,0,0.0,"Java, SQL, Data Structures"
4,Persistent Systems,Software Engineer,5.5,0,0.0,"Java, Python, Data Structures, Git"
5,Capgemini,Software Engineer,4.2,0,66.7,Java
5,Zoho,Software Developer,6.5,0,50.0,"Java, Data Structures"
5,Microsoft,SDE-1,22.0,0,40.0,"Data Structures, Algorithms, Operating Systems"
5,Wipro,Project Engineer,3.8,0,33.3,"Data Structures, Operating Systems"
5,HCL,Software Engineer,4.0,0,33.3,"Data Structures, SQL"
5,Infosys,Systems Engineer,4.0,0,25.0,"Java, Python, Communication Skills"
5,Accenture,Associate Software Engineer,4.5,0,25.0,"Java, Python, Communication Skills"
5,Deloitte,Analyst,6.0,0,25.0,"SQL, Communication Skills, Data Analysis"
5,Tredence,Business Analyst,8.0,0,25.0,"SQL, Power BI, Data Analysis"
5,Amazon,SDE-1,18.0,0,20.0,"Data Structures, Algorithms, Java, Python"
5,Google,SWE,25.0,0,20.0,"Data Structures, Algorithms, Python, Computer Networks"
5,TCS,Assistant System Engineer,3.5,0,0.0,"Data Structures, Java, SQL, Communication Skills"
5,Cognizant,Programmer Analyst,4.0,0,0.0,"Java, SQL, Problem Solving"
5,TechMahindra,Software Engineer,3.6,0,0.0,"Java, Networking, Communication Skills"
5,Adobe,Member Technical Staff,20.0,0,0.0,"Data Structures, Algorithms, Java, Problem Solving"
5,Flipkart,SDE-1,16.0,0,0.0,"Data Structures, Algorithms, Java, REST API"
5,Mu Sigma,Data Analyst,7.0,0,0.0,"Python, Statistics, Data Analysis, SQL"
5,Fractal Analytics,Data Scientist,9.0,0,0.0,"Python, Machine Learning, Statistics, SQL, Pandas"
5,LTIMindtree,Software Engineer,4.0,0,0.0,"Java, SQL, Data Structures"
5,Persistent Systems,Software Engineer,5.5,0,0.0,"Java, Python, Data Structures, Git"
6,HCL,Software Engineer,4.0,1,100.0,
6,Tredence,Business Analyst,8.0,1,75.0,Data Analysis
6,LTIMindtree,Software Engineer,4.0,1,66.7,Java
6,TCS,Assistant System Engineer,3.5,1,50.0,"Java, Communication Skills"
